source,dataset,season,url,params,local_path,downloaded_at_utc,bytes,sha256,remote_updated_at,required,notes
cfbd,teams_fbs,2021,https://api.collegefootballdata.com/teams/fbs,"{""year"": 2021}",data/raw/cfbd/teams_fbs/year-2021.json,2026-09-16T18:08:52+00:00,191478,06e0d939376a28480790fa63ab67e45517821571b455d92a512ad8d6e78d0c56,,True,records=130
cfbd,teams_fbs,2022,https://api.collegefootballdata.com/teams/fbs,"{""year"": 2022}",data/raw/cfbd/teams_fbs/year-2022.json,2026-09-16T18:08:54+00:00,192877,4532ab5ca19a618923d71cc944b0846673a09d8cf12dc0191e9b83946793358f,,True,records=131
cfbd,teams_fbs,2023,https://api.collegefootballdata.com/teams/fbs,"{""year"": 2023}",data/raw/cfbd/teams_fbs/year-2023.json,2026-09-16T18:08:57+00:00,195708,a151e6d8809104c82bc8a9881bf7f0d5aaf1594c0e45a6cf24028295ad1e9a23,,True,records=133
cfbd,teams_fbs,2024,https://api.collegefootballdata.com/teams/fbs,"{""year"": 2024}",data/raw/cfbd/teams_fbs/year-2024.json,2026-09-16T18:09:00+00:00,197094,edf95b175f64557ed6108762fa9d4877e2dc621898ffd91fbaa5a69eff27683b,,True,records=134
cfbd,teams_fbs,2025,https://api.collegefootballdata.com/teams/fbs,"{""year"": 2025}",data/raw/cfbd/teams_fbs/year-2025.json,2026-09-16T18:09:04+00:00,200039,d3cf6f4c2b82bad3b3dd7198aab64524b71eeea7800fec4a828038dcb60767ce,,True,records=136
cfbd,teams_fbs,2026,https://api.collegefootballdata.com/teams/fbs,"{""year"": 2026}",data/raw/cfbd/teams_fbs/year-2026.json,2026-09-16T18:09:08+00:00,202966,15611e4d36965423f96b01f58fbe1ea9de04f88c2909a490ddbfcab4511ea2c2,,True,records=138
cfbd,transfer_portal,2026,https://api.collegefootballdata.com/player/portal,"{""year"": 2026}",data/raw/cfbd/transfer_portal/year-2026.json,2026-09-16T18:19:12+00:00,953733,2fb5d9c1fbb0cb6a35d9c5d5ffb3ce6cc1a34af812f453474cc710bea7aa6bcb,,False,records=4471
official,auburn_boxscore_page,2026,https://auburntigers.com/boxscore/30648,,data/raw/official/auburn/boxscore_30648.html,2026-09-16T18:09:19+00:00,350560,3b650e64dabd232fb982ec988e8b3ba8ec09d51f331f212357487667ace4cf01,,True,
official,auburn_boxscore_page,2026,https://auburntigers.com/boxscore/30649,,data/raw/official/auburn/boxscore_30649.html,2026-09-16T18:09:19+00:00,350917,d518f8a4c11a4c149b5a0c8e0f8a4e3594b311ac7e4bb0a8f443f8c76d5e63a3,,True,
official,auburn_schedule,2026,https://auburntigers.com/sports/football/schedule?print=true,,data/raw/official/auburn/schedule_2026.html,2026-09-16T18:09:19+00:00,495482,ec723ea59957e3d1a1115f7f9be33e1d01362c5d2f3bbe36271d9f3077414d16,,True,
official,auburn_wmt_game,2026,https://api.wmt.games/api/statistics/games/6593077,,data/raw/official/auburn/wmt_game_6593077.json,2026-09-16T18:09:19+00:00,23795,564ac2ea2bbd6c3db1578a24db707294fefda180b88dbd37e52be1b84b0df615,,True,boxscore_id=30649
official,auburn_wmt_game,2026,https://api.wmt.games/api/statistics/games/6594109,,data/raw/official/auburn/wmt_game_6594109.json,2026-09-16T18:09:19+00:00,25108,611d2bc0a6f870d4527dd35c856ef9a610b47d7b4ecffdcf425619675a2c0725,,True,boxscore_id=30648
official,florida_boxscore_page,2026,https://floridagators.com/sports/football/stats/2026/florida-atlantic/boxscore/27903,,data/raw/official/florida/boxscore_27903_florida-atlantic.html,2026-09-16T18:09:21+00:00,2243134,c3165e77f859cd30c7424608b3fe3fca3899b919a30300e0bfba7f58274141ce,,True,opponent=florida-atlantic
official,florida_boxscore_page,2026,https://floridagators.com/sports/football/stats/2026/campbell/boxscore/27904,,data/raw/official/florida/boxscore_27904_campbell.html,2026-09-16T18:09:21+00:00,2235804,ba0514b9ed948e05d75330a638e9f931258084ddbf005f1102b66e628de3e298,,True,opponent=campbell
official,florida_schedule,2026,https://floridagators.com/sports/football/schedule/2026?print=true,,data/raw/official/florida/schedule_2026.html,2026-09-16T18:09:20+00:00,1014954,2f9fef47d163777c87a4fbf94e78c1b9b3dd5c875ce68cf6e375d8ea5d9d4a8f,,True,
sportsdataverse,cfbfastR_cfb_pbp,2021,https://github.com/sportsdataverse/sportsdataverse-data/releases/download/cfbfastR_cfb_pbp/play_by_play_2021.parquet,,data/raw/sportsdataverse/cfbfastR_cfb_pbp/play_by_play_2021.parquet,2026-09-16T18:10:12+00:00,73675845,d3717713352f1167cdc9c0d7f558f33525f6b2fb16a27189e6bd2327c99eb07e,,True,
sportsdataverse,cfbfastR_cfb_pbp,2022,https://github.com/sportsdataverse/sportsdataverse-data/releases/download/cfbfastR_cfb_pbp/play_by_play_2022.parquet,,data/raw/sportsdataverse/cfbfastR_cfb_pbp/play_by_play_2022.parquet,2026-09-16T18:10:17+00:00,108827884,c1b3041e55fb3896d4ef9de7a68522415c326c7efcbf7a2c6b704461f3a7bb87,,True,
sportsdataverse,cfbfastR_cfb_pbp,2023,https://github.com/sportsdataverse/sportsdataverse-data/releases/download/cfbfastR_cfb_pbp/play_by_play_2023.parquet,,data/raw/sportsdataverse/cfbfastR_cfb_pbp/play_by_play_2023.parquet,2026-09-16T18:10:21+00:00,110666583,167889e635679d2a745a0f73690bf51afcb28236d3bbaed32aeabb154b726be9,,True,
sportsdataverse,cfbfastR_cfb_pbp,2024,https://github.com/sportsdataverse/sportsdataverse-data/releases/download/cfbfastR_cfb_pbp/play_by_play_2024.parquet,,data/raw/sportsdataverse/cfbfastR_cfb_pbp/play_by_play_2024.parquet,2026-09-16T18:10:25+00:00,120791523,60489da0c61c56b86698ee14be65cb521010f707e9a2f4ded8d561e9ef592bd4,,True,
sportsdataverse,cfbfastR_cfb_pbp,2025,https://github.com/sportsdataverse/sportsdataverse-data/releases/download/cfbfastR_cfb_pbp/play_by_play_2025.parquet,,data/raw/sportsdataverse/cfbfastR_cfb_pbp/play_by_play_2025.parquet,2026-09-16T18:10:31+00:00,131185522,2290311f156083730b6b9d9e6662d121dc86953d71e11aafc9da4c0753819369,,True,
sportsdataverse,cfbfastR_cfb_pbp,2026,https://github.com/sportsdataverse/sportsdataverse-data/releases/download/cfbfastR_cfb_pbp/play_by_play_2026.parquet,,data/raw/sportsdataverse/cfbfastR_cfb_pbp/play_by_play_2026.parquet,2026-09-16T18:10:32+00:00,26840989,5de2af139bc60f6f604ff0e7e0ecfcf883539664053bd6d0fdd0ce292e6f9171,,True,
sportsdataverse,data_dictionary,,https://raw.githubusercontent.com/sportsdataverse/cfbfastR-cfb-data/main/DATASETS.md,,data/raw/sportsdataverse/reference/cfbfastR_DATASETS.md,2026-09-16T18:10:32+00:00,128706,8a3cd5ed3f608ccb0d75230349136bb00bad9bf70871c14e4456b6eb7ed85b3a,,False,
