team,plays,raw_ppa_over_expected,shrunk_ppa_over_expected,posterior_sd,rank_estimate,rank_low_90,rank_high_90,one_play_swing_in_raw_mean,rank_interval_width,could_be_top_25,interval_text
Baylor,141,-0.0232318541319284,-0.0044466801952079,0.0473803017233394,81,12.0,129.0,0.0297095815672167,118.0,True,12th to 129th
NC State,69,-0.043817238862029,-0.0045487760380946,0.0498805914912587,82,10.0,132.0,0.0620963406218514,123.0,True,10th to 132th
UTEP,71,-0.0552758482644511,-0.0058869367095311,0.0498057136546835,83,10.0,132.0,0.1592392285457085,123.0,True,10th to 132th
UCF,85,-0.0476778003570209,-0.0059539462144782,0.0492908436706936,84,11.0,131.0,0.0567533828420393,121.0,True,11th to 131th
Delaware,117,-0.038275055825742,-0.0062837559728507,0.048171500522383,85,12.0,130.0,0.0367801747688165,119.0,True,12th to 130th
North Dakota State,160,-0.0301978755529576,-0.0063939603637525,0.0467808543950495,86,13.0,131.0,0.075962598038669,119.0,True,13th to 131th
Rice,98,-0.0485733887216206,-0.0068624284155332,0.0488267750486743,87,10.0,131.0,0.0397863934681282,122.0,True,10th to 131th
Texas,121,-0.0432067179474091,-0.007294969541535,0.0480368790688765,88,13.0,131.0,0.037637711213212,119.0,True,13th to 131th
Kentucky,105,-0.0493308014226112,-0.007392650000534,0.0485822588923835,89,13.0,131.0,0.0753683118958097,119.0,True,13th to 131th
Tulsa,125,-0.0457861056574434,-0.0079416967879172,0.0479033799944536,90,15.0,132.0,0.0535566990069272,118.0,True,15th to 132th
New Mexico,93,-0.0608624798663651,-0.0082191656660354,0.049003707311741,91,12.0,132.0,0.0549046378879129,121.0,True,12th to 132th
James Madison,79,-0.0774219282928007,-0.0090657995659017,0.0495095393302116,92,12.0,133.0,0.0633385031611237,122.0,True,12th to 133th
Iowa State,96,-0.0657582829545719,-0.009127020737991,0.0488973176985088,93,13.0,132.0,0.0316628518032427,120.0,True,13th to 132th
South Carolina,98,-0.0663085894917125,-0.0093680502986878,0.0488267750486743,94,13.0,133.0,0.0531124983384462,121.0,True,13th to 133th
Florida State,128,-0.0552405992905193,-0.0097708823331211,0.0478039829084906,95,16.0,131.04999999999973,0.0364252281266354,116.04999999999971,True,16th to 131th
Maryland,113,-0.0656003122047308,-0.0104603551479335,0.0483072601707757,96,14.0,132.0,0.0527729766827013,119.0,True,14th to 132th
Western Kentucky,87,-0.0910839263957853,-0.011607977025801,0.0492185866193111,97,13.0,133.0,0.0486463817371104,121.0,True,13th to 133th
Kent State,103,-0.0801590194586226,-0.0118174491229469,0.048651745538818,98,15.0,133.0,0.0373369992521628,119.0,True,15th to 133th
Wyoming,109,-0.0774595722656189,-0.0119817974298987,0.0484441741436379,99,14.0,133.0,0.0330120360975163,120.0,True,14th to 133th
Marshall,91,-0.0909381871027101,-0.0120516340348158,0.0490750207369082,100,14.0,133.0,0.0642137675287306,120.0,True,14th to 133th
Georgia Tech,123,-0.0741931392196001,-0.012698294219813,0.0479699902107253,101,16.0,132.0,0.0794877413506188,117.0,True,16th to 132th
Minnesota,94,-0.0946126670180255,-0.0128956162452431,0.0489681669846801,102,14.0,133.0,0.048442245758727,120.0,True,14th to 133th
Louisiana Tech,65,-0.1330008039656791,-0.0130854785483745,0.0500313659230094,103,14.0,133.0,0.0471296810471264,120.0,True,14th to 133th
