team,plays,raw_ppa_over_expected,shrunk_ppa_over_expected,posterior_sd,rank_estimate,rank_low_90,rank_high_90,one_play_swing_in_raw_mean,rank_interval_width
Middle Tennessee,111,0.12588755240950317,0.019774033223126895,0.048375571846073745,24,5.0,122.0,0.037559954546689846,118.0
Northwestern,54,0.22783127572390227,0.018937427098929784,0.05045315188786292,25,5.0,123.0,0.1126847865549234,119.0
UAB,134,0.0969601910110045,0.01780646547086945,0.04760703092189151,26,5.0,121.0,0.06788575120525314,117.0
Toledo,70,0.16637176470400847,0.01749545342859807,0.049843110390482635,27,5.0,122.0,0.09014255085751406,118.0
Indiana,79,0.14572561347592944,0.0170638891657997,0.049509539330211676,28,5.0,122.04999999999973,0.051199037846756286,118.04999999999973
Illinois,108,0.11112588178816402,0.01705595775391768,0.04847858492076297,29,5.0,123.0,0.04557004295145333,119.0
South Alabama,148,0.07979784795353391,0.015881022909828443,0.04715678137602118,30,7.0,123.0,0.02390644967749963,117.0
Florida,69,0.1469798090876986,0.015258337837467583,0.04988059149125876,31,5.0,123.0,0.05824474107991574,119.0
Coastal Carolina,112,0.09577324632660132,0.015157849233501042,0.04834137980900191,32,6.0,123.0,0.04177335353362624,118.0
USC,166,0.06852397095671843,0.014934457866784734,0.046596231275266416,33,7.0,123.0,0.033838480444403185,117.0
Sam Houston,128,0.08357638621006377,0.014782877919034026,0.047803982908490694,34,6.0,124.0,0.05365094001423499,119.0
UCLA,110,0.09098801773087288,0.014183433878065949,0.04840983653839387,35,6.0,124.0,0.049696124877429665,119.0
Ball State,101,0.09282177761272112,0.013457065912905625,0.04872153119856023,36,6.0,125.0,0.04424727757974059,120.0
Texas State,115,0.08152608066651508,0.013192664954618571,0.04823923707156704,37,6.0,123.0,0.03684523543352824,118.0
Arizona,105,0.08785441343687021,0.013165748595426274,0.048582258892383566,38,6.0,125.0,0.03732659461173122,120.0
Stanford,105,0.08313116794274099,0.012457929143932584,0.048582258892383566,39,6.0,125.0,0.034548690578482893,120.0
Air Force,122,0.06938814745961626,0.011795772357485695,0.04800339968825443,40,7.0,124.0,0.02805541487403237,118.0
Nevada,110,0.0727308896724005,0.011337468276456163,0.04840983653839387,41,7.0,125.0,0.05557830873086784,119.0
Arkansas State,93,0.08036845554813214,0.01085334761126868,0.04900370731174104,42,6.0,125.0,0.06273625264665364,120.0
Virginia,97,0.07230063363346337,0.010124969627877959,0.04886200818241634,43,7.0,126.0,0.035804943905621174,120.0
New Mexico State,177,0.0429053058742531,0.009828694561311312,0.04626335788298526,44,7.0,124.0,0.024448025059704045,118.0
Kennesaw State,100,0.06528411088999381,0.009384485364976254,0.04875653682966486,45,7.0,126.0,0.045224112043430846,120.0
Missouri,116,0.0573039283566657,0.00934049361966841,0.048205333104072316,46,7.0,125.0,0.043104868683611984,119.0
Notre Dame,88,0.07115097111166614,0.009158478568040578,0.049182577054622215,47,8.0,127.0,0.04251232142093011,120.0
Alabama,99,0.05991892902095681,0.00853939189398371,0.04879161802229253,48,7.94999999999996,124.0,0.07352636577181776,117.05000000000004
Ohio,121,0.04935998776536992,0.008333880109968132,0.04803687906887658,49,7.0,125.0,0.03119624582973677,119.0
Ole Miss,122,0.04677649917811361,0.007951861466056157,0.04800339968825443,50,8.0,127.0,0.046182525479972925,120.0
Wake Forest,101,0.05179189840008101,0.00750865808056754,0.04872153119856023,51,8.0,126.0,0.05678647753981388,119.0
Colorado,112,0.04723750071991988,0.007476189244313691,0.04834137980900191,52,7.0,127.0,0.048161061574177225,121.0
Charlotte,112,0.04596320982149736,0.007274509651538457,0.04834137980900191,53,8.0,127.0,0.047277508341010535,120.0
North Carolina,84,0.051848518631978105,0.0064080210179886425,0.04932709174053553,54,7.0,129.0,0.03279479678884046,123.0
Houston,98,0.044652076105964805,0.0063084269791894455,0.0488267750486743,55,7.0,128.0,0.047558994792937744,122.0
Arizona State,96,0.04511555227372594,0.006261881586730027,0.04889731769850883,56,8.0,127.0,0.11291411015091106,120.0
Virginia Tech,83,0.05063081414231299,0.006192139766321838,0.04936341989774839,57,9.0,128.0,0.057133904310466846,120.0
Akron,93,0.04474834768673036,0.006043034784749984,0.04900370731174104,58,8.0,128.0,0.04448925946434475,121.0
San José State,180,0.024834854353074937,0.005763187200001919,0.0461738054163855,59,10.0,126.0,0.026254193895371293,117.0
Jacksonville State,132,0.027910428248109142,0.005063046654688188,0.047672410856732024,60,9.0,126.0,0.053768750291357935,118.0
Temple,96,0.03292705136707479,0.0045701600949009345,0.04889731769850883,61,8.0,128.0,0.04051194014836139,121.0
Navy,113,0.027394845457583816,0.0043682690383356915,0.04830726017077575,62,9.0,129.0,0.04320448654172941,121.0
Western Michigan,100,0.02739905465562199,0.003938569797835435,0.04875653682966486,63,9.0,127.0,0.038257291666308785,119.0
