play_family,down_group,metric,check,name,edge,primary_edge,kept_direction,note
run,passing downs,value,7,most influential play removed,-0.004892377074140891,0.001165848422561352,False,"Auburn offense: (05:00) No Huddle-Shotgun #17 B.Brown rush middle for 12 yards gain to the USM47 (#35 W.Edison), 1ST DOWN"
run,passing downs,value,8,environment correction removed,,0.001165848422561352,,not applicable: no correction was triggered
run,passing downs,value,9,display threshold,,0.001165848422561352,True,15 and 13 plays
run,passing downs,value,10,boosted baseline,-0.0021671539882901674,0.001165848422561352,False,
run,passing downs,explosive,1,2023-2025 sensitivity baseline,-0.00028102130923081376,-0.00025881915929784095,True,
run,passing downs,explosive,2,garbage time included,0.0021428409972735867,-0.00025881915929784095,False,
run,passing downs,explosive,3,accepted-penalty snaps included,,-0.00025881915929784095,,not applicable: yardage unreliable
run,passing downs,explosive,4,giveaways removed,-0.00025881915929784095,-0.00025881915929784095,True,
run,passing downs,explosive,5,alternate explosive definition,-0.0005813093861836909,-0.00025881915929784095,True,
run,passing downs,explosive,6,without Baylor at Auburn,0.00015287621110972934,-0.00025881915929784095,False,
run,passing downs,explosive,6,without Southern Miss at Auburn,-0.0009405455767289955,-0.00025881915929784095,True,
run,passing downs,explosive,6,without Florida Atlantic at Florida,9.625663976534858e-05,-0.00025881915929784095,False,
run,passing downs,explosive,6,without Campbell at Florida,-9.59957852377948e-05,-0.00025881915929784095,True,
run,passing downs,explosive,7,most influential play removed,-0.00012299502239373545,-0.00025881915929784095,True,"Auburn offense: (04:37) No Huddle-Shotgun #17 B.Brown rush right for 7 yards gain to the USM23 (#24 M.Robinson III), 1ST DOWN"
run,passing downs,explosive,8,environment correction removed,,-0.00025881915929784095,,not applicable: no correction was triggered
run,passing downs,explosive,9,display threshold,,-0.00025881915929784095,True,15 and 13 plays
run,passing downs,explosive,10,boosted baseline,-0.0006466311398774532,-0.00025881915929784095,True,
