team_offense,team_defense,largest_abs_edge
Air Force,UTSA,0.013160765842730097
Air Force,Utah,0.01466756589827025
Air Force,Utah State,0.020815974752832436
Air Force,Vanderbilt,0.01893440826455988
Air Force,Virginia,0.005023282196345261
Air Force,Virginia Tech,0.0029844213972432566
Air Force,Wake Forest,0.010077127999297256
Air Force,Washington,0.010967270624524315
Air Force,Washington State,0.009423442597432418
Air Force,West Virginia,0.008839306656036529
Air Force,Western Kentucky,0.024824836285027324
Air Force,Western Michigan,0.0014500560146444037
Air Force,Wisconsin,0.017284923631756547
Air Force,Wyoming,0.019475482107789717
Akron,Air Force,0.009615703169742532
Akron,Alabama,0.009032112064052088
Akron,App State,0.008963992230437482
Akron,Arizona,0.010225370737178429
Akron,Arizona State,0.0028543097347726396
Akron,Arkansas,0.011042804351781938
Akron,Arkansas State,0.01800540314763941
Akron,Army,0.009893123762492404
Akron,Auburn,0.014469212910694895
Akron,BYU,0.013119892603559648
Akron,Ball State,0.009981352711846254
Akron,Baylor,0.00908369997089339
Akron,Boise State,0.008203940498482557
Akron,Boston College,0.016346381233812806
Akron,Bowling Green,0.013551363041646433
Akron,Buffalo,0.013445592619568228
Akron,California,0.02257167736336977
Akron,Central Michigan,0.008999401875108243
Akron,Charlotte,0.028130948357638526
Akron,Cincinnati,0.018404842481060238
Akron,Clemson,0.01547328780393728
Akron,Coastal Carolina,0.004122269349087179
Akron,Colorado,0.009306636991771538
Akron,Colorado State,0.018959522967964715
Akron,Delaware,0.009405456113880656
Akron,Duke,0.007729974000225057
Akron,East Carolina,0.011016291982602303
Akron,Eastern Michigan,0.005567528040108157
Akron,Florida,0.014693645938702026
Akron,Florida Atlantic,0.01841266552109222
Akron,Florida International,0.007732448915904229
Akron,Florida State,0.010337103044752601
Akron,Fresno State,0.012239539753726433
Akron,Georgia,0.004681322355786733
Akron,Georgia Southern,0.019209779637422972
Akron,Georgia State,0.008038418333254187
Akron,Georgia Tech,0.007038568799517723
Akron,Hawai'i,0.00935920377732475
Akron,Houston,0.003774358020898554
Akron,Illinois,0.019146848951364565
Akron,Indiana,0.010737478448293647
Akron,Iowa,0.007543446981519639
Akron,Iowa State,0.004066970538751168
Akron,Jacksonville State,0.015953342518057485
Akron,James Madison,0.00876567684102853
Akron,Kansas,0.008610062236987003
Akron,Kansas State,0.01721776521163425
Akron,Kennesaw State,0.013101299396643508
Akron,Kent State,0.011612427678824918
Akron,Kentucky,0.008113472593809234
Akron,LSU,0.011317890554988719
Akron,Liberty,0.012331604074306213
Akron,Louisiana,0.008546572494259
Akron,Louisiana Tech,0.012784564880563913
Akron,Louisville,0.008080089601780666
Akron,Marshall,0.007479837884906964
Akron,Maryland,0.010541789091997562
Akron,Massachusetts,0.012572980971013392
Akron,Memphis,0.02918637009917091
Akron,Miami,0.0011496616703857033
Akron,Miami (OH),0.005482695096719168
Akron,Michigan,0.010674327496411487
Akron,Michigan State,0.01475212333176952
Akron,Middle Tennessee,0.015738477713249193
Akron,Minnesota,0.013304237229818225
Akron,Mississippi State,0.004508879260782775
Akron,Missouri,0.01026141364715885
Akron,Missouri State,0.010282262378129755
Akron,NC State,0.009674674904390364
Akron,Navy,0.015493511708114307
Akron,Nebraska,0.013121737618516982
Akron,Nevada,0.012028761627119862
Akron,New Mexico,0.0056952391257229455
Akron,New Mexico State,0.007317174115075986
Akron,North Carolina,0.00749120582970783
Akron,North Dakota State,0.007432121706371914
Akron,North Texas,0.025557625558761655
Akron,Northern Illinois,0.01532855361787817
Akron,Northwestern,0.009265451512585818
Akron,Notre Dame,0.00928361676339921
Akron,Ohio,0.01634700227438346
Akron,Ohio State,0.01220730948238957
Akron,Oklahoma,0.0127926617912245
Akron,Oklahoma State,0.005534568790565926
Akron,Old Dominion,0.015138008410899767
Akron,Ole Miss,0.013263585383958543
Akron,Oregon,0.021223169600648135
Akron,Oregon State,0.012279240836879625
Akron,Penn State,0.011457035665415536
Akron,Pittsburgh,0.00966790000899232
Akron,Purdue,0.013416494276343137
Akron,Rice,0.013654846913797104
Akron,Rutgers,0.01513740582928981
Akron,SMU,0.013973951818507118
Akron,Sacramento State,0.009753679099352984
Akron,Sam Houston,0.016158435997401303
Akron,San Diego State,0.011798626543172814
Akron,San José State,0.007930727879624785
Akron,South Alabama,0.015490214469825476
Akron,South Carolina,0.007075258635061035
Akron,South Florida,0.005714911283335094
Akron,Southern Miss,0.02050317211750676
Akron,Stanford,0.004795601490333063
Akron,Syracuse,0.0037086552635426265
Akron,TCU,0.005694487629554438
Akron,Temple,0.013737199858301104
Akron,Tennessee,0.014077110507926052
Akron,Texas,0.010367246829561931
Akron,Texas A&M,0.01458775453467391
Akron,Texas State,0.006284807851985125
Akron,Texas Tech,0.009669952953547448
Akron,Toledo,0.013871234312054103
